coffeeshop_name,branch,has_other_branches,branch_locations,most_popular_branch,peak_hours,busiest_days,peak_season,best_weather_for_visits,best_selling_product,least_selling_product,avg_time_spent,dominant_age_group,new_vs_loyal_customers,visit_purpose,solo_vs_group_visits,customer_reaction_to_discounts,recent_campaign_types,products_in_campaigns,sales_difference_after_campaigns,preferred_payment_method,avg_order_price,wolt_vs_inhouse_orders,most_preferred_size,seating_capacity,holiday_customer_increase,has_loyalty_card,winter_weekday_orders,winter_weekend_orders,summer_weekday_orders,summer_weekend_orders,has_dietary_options,americano_price,latte_price,espresso_price,cappuccino_price,rafcoffee_price,whitemocha_price,blackmocha_price,hotchocolate_price,tea_price,phone,rating,review_count,excellent_reviews,good_reviews,average_reviews,poor_reviews,terrible_reviews,accepts_credit_cards,seating,free_wifi,visa,mastercard,delivery,takeout,reservations,street_parking,non_smoking_restaurants,parking_available,family_style,digital_payments,table_service,wine_and_beer,serves_alcohol,outdoor_seating,american_express,dog_friendly,full_bar,wheelchair_accessible,cash_only,discover,free_off_street_parking,drive_thru,television,live_music,highchairs_available,gift_cards_available,private_dining,playgrounds,buffet,sports_bars,jazz_bar,validated_parking,valet_parking,waterfront,beach
Kaffein Coffee,Gara Garayev pr.61,Xeyr,,,Axşam (16:00 - 22:00),"Şənbə, Bazar",Qış,Günəşli günlər,Americano,Tea,1 saat və daha çox,18-24,Daimi,"Məkan içində iş görmək, Sadəcə qəhvə içmək üçün",2-3 nəfərlik qruplar daha çoxdur,Endirim olan günlərdə daha çox alış olur,Bonus kartlarla endirim,Qəhvə növləri + Dessertlər,+20% artım,Kart,9-12 Azn,Məkan daxilində daha çox sifariş var,Medium,70,20%,Bəli,50-100,100-200,100-200,200+,Bəli,6,6.5,4,6.5,7.5,7.5,7.5,6.5,5,+994 50 845 27 28,2.8,37,10,11,7,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Coffee Mode,Khatai,Xeyr,,,"Günorta (12:00 - 16:00), Axşam (16:00 - 22:00)","Şənbə, Bazar",Qış,Yağışlı günlər,Americano,Tea,1 saat və daha çox,"18-24, 25-34",Yeni,"Məkan içində iş görmək, Sadəcə qəhvə içmək üçün",Tək gələnlər daha çoxdur,Endirim olan günlərdə daha çox alış olur,Bonus kartlarla endirim,Qəhvə növləri,+10% artım,Kart,5-8 Azn,Məkan daxilində daha çox sifariş var,Medium,15,10%,Bəli,0-50,50-100,50-100,100-200,Xeyr,6,5.9,3,5.9,8,6.5,6.5,6.5,5,+994 51 337 09 04,1.3,16,3,2,4,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CoffeeLea,Khatai,Bəli,"Statistika, Ganjlik Dədə qorqud, Ganjlik Atatürk filialı, Sumgait ",Khatai,Günorta (12:00 - 16:00),"Şənbə, Bazar",Yaz,Günəşli günlər,Latte,Matcha,1 saat və daha çox,"18-24, 25-34, 35-44",Daimi,"Məkan içində iş görmək, Sadəcə qəhvə içmək üçün, Sosial görüşlər",2-3 nəfərlik qruplar daha çoxdur,Kampaniya yoxdur,Kampaniya yoxdur,Kampaniya yoxdur,Kampaniya yoxdur,Kart,13-20 Azn,Məkan daxilində daha çox sifariş var,Medium,70,20%,Xeyr,100-200,200+,100-200,200+,Xeyr,5.5,6.5,3.9,6.5,7.5,7.5,7.5,7.9,4.9,+994 51 333 51 56,3.3,99,21,15,21,13,29,0,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Second Cup,Khatai,Bəli,"Port Baku, Nariman Narimanov, Port Baku Walk, White city, Statistika, Targovy, Sevinc mall, Ganjlik ","Khatai, Nariman Narimanov, Targovy","Səhər (08:00 - 12:00), Günorta (12:00 - 16:00), Axşam (16:00 - 22:00)","Şənbə, Bazar",Yay,Günəşli günlər,Americano,Chai tea latte,1 saat və daha çox,"18-24, 25-34",Daimi,"Məkan içində iş görmək, Sadəcə qəhvə içmək üçün, Sosial görüşlər",4+ nəfərlik qruplar daha çoxdur,Endirim olan günlərdə daha çox alış olur,Bonus kartlarla endirim,Qəhvə növləri,+20% artım,Kart,9-12 Azn,Məkan daxilində daha çox sifariş var,Medium,70,20%,Bəli,100-200,200+,100-200,200+,Bəli,6.2,8.3,3.5,6.9,8.3,8.3,8.3,7.9,5,+994 12 404 84 34,3.1,84,17,16,18,14,19,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Coffeemania Next,Khatai,Bəli,"Crescent Mall, White city, City park, Nariman Narimanov","Crescent Mall,  Nariman Narimanov","Günorta (12:00 - 16:00), Axşam (16:00 - 22:00)","Şənbə, Bazar",Yay,Soyuq hava,Raf coffee,Tea,30 dəqiqə,"18-24, 25-34",Yeni,"Məkan içində iş görmək, Sadəcə qəhvə içmək üçün, Sosial görüşlər",2-3 nəfərlik qruplar daha çoxdur,Endirim olan günlərdə daha çox alış olur,Kampaniya yoxdur,Qəhvə növləri + Dessertlər + Sendviç və yeməklər,+20% artım,Kart,13-20 Azn,Məkan daxilində daha çox sifariş var,Medium,40,10%,Xeyr,50-100,100-200,50-100,100-200,Bəli,6.9,7.5,5.5,7.5,8.9,9,9,8.9,4.5,Unknown,4.7,33,7,7,9,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jini Coffee,Khatai,Bəli,Sea Breeze (LightHouse residence),Khatai,Axşam (16:00 - 22:00),"Şənbə, Bazar",Qış,Yağışlı günlər,Latte,Matcha,1 saat və daha çox,"18-24, 25-34",Daimi,"Məkan içində iş görmək, Sadəcə qəhvə içmək üçün",2-3 nəfərlik qruplar daha çoxdur,Endirim olan günlərdə daha çox alış olur,Müəyyən saatlarda endirim,Sendviç və yeməklər,+10% artım,Kart,9-12 Azn,Wolt sifarişləri çoxdur,Large,25,10%,Xeyr,0-50,50-100,0-50,50-100,Bəli,6,7,4.5,6.5,9,9,9,7.5,5,+994 55 130 95 61,1.9,37,14,7,6,6,4,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
United Coffee Beans,Khatai,Bəli,"Targovy, White city",White city,Günorta (12:00 - 16:00),"Bazar ertəsi, Çərşənbə axşamı, Çərşənbə, Cümə axşamı, Cümə",Qış,Günəşli günlər,Latte,Tea,1 saat və daha çox,"18-24, 25-34",Daimi,"Məkan içində iş görmək, Sosial görüşlər",Tək gələnlər daha çoxdur,Kampaniya yoxdur,Kampaniya yoxdur,Kampaniya yoxdur,Kampaniya yoxdur,Kart,9-12 Azn,Məkan daxilində daha çox sifariş var,Large,30,10%,Xeyr,50-100,100-200,100-200,100-200,Bəli,6,8.5,4.9,6.5,11,9.9,9.9,8,5,+994 50 505 11 25,2.4,70,17,8,15,8,22,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Belgian Chocolate & Coffee,Khatai,Bəli,"White city, Nariman Narimanov, Hazi Aslanov, Sumgait","Khatai, White city","Günorta (12:00 - 16:00), Axşam (16:00 - 22:00)","Şənbə, Bazar",Yay,Günəşli günlər,Raf coffee,Chai tea latte,1 saat və daha çox,"18-24, 25-34",Daimi,"Məkan içində iş görmək, Sadəcə qəhvə içmək üçün, Sosial görüşlər",2-3 nəfərlik qruplar daha çoxdur,Endirim olan günlərdə daha çox alış olur,Bonus kartlarla endirim,Qəhvə növləri,+10% artım,Kart,13-20 Azn,Məkan daxilində daha çox sifariş var,Medium,40,10%,Bəli,100-200,200+,100-200,200+,Xeyr,5,6.3,4,6.3,8,6.7,6.7,6.8,3.8,+994 55 955 77 05,3.3,32,2,12,6,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Beast Coffee,White city,Xeyr,,,"Günorta (12:00 - 16:00), Axşam (16:00 - 22:00)","Şənbə, Bazar",Yay,Günəşli günlər,Raf coffee,Hot Chocolate,1 saat və daha çox,"18-24, 25-34",Yeni,"Sadəcə qəhvə içmək üçün, Sosial görüşlər",2-3 nəfərlik qruplar daha çoxdur,Kampaniyalar ciddi təsir etmir,Müəyyən saatlarda endirim,Qəhvə növləri + Dessertlər + Sendviç və yeməklər,+10% artım,Nağd,9-12 Azn,Məkan daxilində daha çox sifariş var,Medium,80,10%,Xeyr,50-100,100-200,100-200,200+,Xeyr,7,8.5,5.5,8,8.5,9,9,9,8,+994 50 255 99 33,4.6,57,25,0,4,0,28,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Croque Baku,White city,Xeyr,,,Axşam (16:00 - 22:00),"Şənbə, Bazar",Yay,Günəşli günlər,Americano,Mocha,1 saat və daha çox,"18-24, 25-34",Yeni,Sadəcə qəhvə içmək üçün,2-3 nəfərlik qruplar daha çoxdur,Kampaniya yoxdur,Kampaniya yoxdur,Kampaniya yoxdur,Kampaniya yoxdur,Kart,30 Azn,Wolt sifarişləri çoxdur,Medium,25,10%,Xeyr,50-100,50-100,50-100,100-200,Xeyr,6,7,5,7,8,8,8,9,3,+994 55 977 65 76,4.7,86,27,14,23,14,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Coffee Domingo,White city,Xeyr,,,Axşam (16:00 - 22:00),"Şənbə, Bazar",Yay,Günəşli günlər,Americano,Tea,1 saat və daha çox,"18-24, 25-34, 35-44",Yeni,Sadəcə qəhvə içmək üçün,2-3 nəfərlik qruplar daha çoxdur,Kampaniya yoxdur,Kampaniya yoxdur,Kampaniya yoxdur,Kampaniya yoxdur,Kart,5-8 Azn,Məkan daxilində daha çox sifariş var,Medium,25,"Xeyr, müştəri sayı eyni qalır",Xeyr,0-50,50-100,50-100,100-200,Xeyr,5,6,4,6,8,8,8,8,3,+994 12 248 82 31,2.8,52,18,12,7,8,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
Milk Lab Coffee,White city,Xeyr,,,Axşam (16:00 - 22:00),"Şənbə, Bazar",Yay,Yağışlı günlər,Cappuccino,Hot Chocolate,1 saat və daha çox,"18-24, 25-34",Yeni,"Məkan içində iş görmək, Sadəcə qəhvə içmək üçün, Sosial görüşlər",2-3 nəfərlik qruplar daha çoxdur,Kampaniyalar ciddi təsir etmir,Müəyyən saatlarda endirim,Qəhvə növləri + Dessertlər,Dəyişiklik olmayıb,Kart,13-20 Azn,Məkan daxilində daha çox sifariş var,Medium,30,10%,Xeyr,50-100,100-200,100-200,200+,Xeyr,5.5,6,3.9,6,8.5,8.2,8.2,8,5,+994 12 493 96 47,3.4,18,2,2,0,8,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sketch cafe,White city,Xeyr,,,Axşam (16:00 - 22:00),"Şənbə, Bazar",Yaz,Günəşli günlər,Raf coffee,Tea,1 saat və daha çox,"18-24, 25-34",Yeni,"Sadəcə qəhvə içmək üçün, Sosial görüşlər",2-3 nəfərlik qruplar daha çoxdur,Endirim olan günlərdə daha çox alış olur,Bonus kartlarla endirim,Qəhvə növləri + Dessertlər + Sendviç və yeməklər,+10% artım,Kart,9-12 Azn,Məkan daxilində daha çox sifariş var,Medium,40,10%,Bəli,0-50,50-100,50-100,50-100,Xeyr,5,7,5,7,9,7,7,7,5,+994 50 387 41 32,3.7,78,28,12,13,18,7,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Coffeemoon,White city,Bəli,"Ganjlik, Elmlar Akademiyası",Elmlar Akademiyası,Axşam (16:00 - 22:00),"Şənbə, Bazar",Yaz,Günəşli günlər,Latte,Macchiato,1 saat və daha çox,"18-24, 25-34",Yeni,"Məkan içində iş görmək, Sadəcə qəhvə içmək üçün",2-3 nəfərlik qruplar daha çoxdur,Kampaniyalar ciddi təsir etmir,Bonus kartlarla endirim,Qəhvə növləri,Dəyişiklik olmayıb,Kart,9-12 Azn,Məkan daxilində daha çox sifariş var,Medium,40,10%,Bəli,0-50,50-100,50-100,100-200,Xeyr,5.2,6.3,3,6.3,7.3,7,7,6.8,5,+994 50 805 43 22,2.1,102,27,27,27,16,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Coffee nero,White city,Bəli,Ganjlik,Ganjlik,Axşam (16:00 - 22:00),"Şənbə, Bazar",Yay,Günəşli günlər,Americano,Espresso,1 saat və daha çox,"18-24, 25-34",Yeni,"Məkan içində iş görmək, Sosial görüşlər",2-3 nəfərlik qruplar daha çoxdur,Kampaniyalar ciddi təsir etmir,Müəyyən saatlarda endirim,Qəhvə növləri + Dessertlər,Dəyişiklik olmayıb,Kart,5-8 Azn,Məkan daxilində daha çox sifariş var,Medium,15,10%,Xeyr,0-50,50-100,50-100,50-100,Xeyr,5,6.5,4,6,7.5,7.5,7.5,7,4,+994 12 981 15 70,1.4,42,12,9,14,2,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lavazza Azerbaijan,White city,Xeyr,,,"Səhər (08:00 - 12:00), Günorta (12:00 - 16:00)","Şənbə, Bazar",Qış,Soyuq hava,Cappuccino,Macchiato,1 saat və daha çox,"18-24, 25-34",Yeni,"Məkan içində iş görmək, Sadəcə qəhvə içmək üçün, Sosial görüşlər",2-3 nəfərlik qruplar daha çoxdur,Endirim olan günlərdə daha çox alış olur,Müəyyən saatlarda endirim,Qəhvə növləri + Dessertlər,+10% artım,Kart,13-20 Azn,Məkan daxilində daha çox sifariş var,Medium,80,10%,Xeyr,50-100,100-200,100-200,200+,Bəli,4,6,4,5,8,8,8,7.5,4,+994 12 498 13 97,3,65,7,8,16,13,21,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Second Cup,White city,Bəli,"Port Baku, Nariman Narimanov, Port Baku Walk, Khatai, Statistika, Ganjlik , Targovy, Sevinc mall","Khatai, Nariman Narimanov, Targovy","Günorta (12:00 - 16:00), Axşam (16:00 - 22:00)","Şənbə, Bazar",Yay,Günəşli günlər,Americano,Tea,1 saat və daha çox,"18-24, 25-34",Yeni,"Məkan içində iş görmək, Sadəcə qəhvə içmək üçün, Sosial görüşlər",2-3 nəfərlik qruplar daha çoxdur,Endirim olan günlərdə daha çox alış olur,Bonus kartlarla endirim,Qəhvə növləri,+10% artım,Kart,9-12 Azn,Məkan daxilində daha çox sifariş var,Medium,80,20%,Bəli,100-200,200+,200+,200-300,Bəli,6.2,8.3,3.5,6.9,8.3,8.3,8.3,7.9,5,+994 12 404 84 34,3.1,84,17,16,18,14,19,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
United Coffee Beans,White city,Bəli,"Khatai, Targovy",White city,"Günorta (12:00 - 16:00), Axşam (16:00 - 22:00)","Şənbə, Bazar",Yay,Günəşli günlər,Latte,Hot Chocolate,1 saat və daha çox,"18-24, 25-34",Daimi,"Məkan içində iş görmək, Sadəcə qəhvə içmək üçün, Sosial görüşlər",Tək gələnlər daha çoxdur,Kampaniya yoxdur,Kampaniya yoxdur,Kampaniya yoxdur,Kampaniya yoxdur,Kart,9-12 Azn,Məkan daxilində daha çox sifariş var,Medium,60,20%,Xeyr,100-200,200+,100-200,200+,Bəli,6,8.5,4.9,6.5,11,9.9,9.9,8,5,+994 50 505 11 25,2.4,70,17,8,15,8,22,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Belgian Chocolate & Coffee,White city,Bəli,"Khatai, Nariman Narimanov, Hazi Aslanov, Sumgait","Khatai, White city","Günorta (12:00 - 16:00), Axşam (16:00 - 22:00)","Şənbə, Bazar",Yay,Günəşli günlər,Latte,Mocha,1 saat və daha çox,"18-24, 25-34",Yeni,"Məkan içində iş görmək, Sadəcə qəhvə içmək üçün, Sosial görüşlər",2-3 nəfərlik qruplar daha çoxdur,Endirim olan günlərdə daha çox alış olur,Bonus kartlarla endirim,Qəhvə növləri,+10% artım,Kart,13-20 Azn,Məkan daxilində daha çox sifariş var,Medium,45,10%,Bəli,50-100,100-200,50-100,200+,Xeyr,5,6.3,,6.3,8,6.7,6.7,6.8,3.8,+994 55 955 77 05,3.3,32,2,12,6,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Coffeemania Next,White city,Bəli,"Khatai, Crescent Mall, City park, Nariman Narimanov","Crescent Mall,  Nariman Narimanov","Günorta (12:00 - 16:00), Axşam (16:00 - 22:00)","Şənbə, Bazar",Yay,Günəşli günlər,Americano,Hot Chocolate,1 saat və daha çox,"18-24, 25-34",Yeni,"Məkan içində iş görmək, Sadəcə qəhvə içmək üçün",2-3 nəfərlik qruplar daha çoxdur,Endirim olan günlərdə daha çox alış olur,Kampaniya yoxdur,Qəhvə növləri + Dessertlər + Sendviç və yeməklər,+10% artım,Kart,13-20 Azn,Məkan daxilində daha çox sifariş var,Medium,100,"Xeyr, müştəri sayı eyni qalır",Xeyr,50-100,100-200,100-200,200+,Bəli,6.9,7.5,5.5,7.5,8.9,9,9,8.9,4.5,Unknown,4.7,33,7,7,9,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Belgian Chocolate & Coffee,Hazi Aslanov,Bəli,"Nariman Narimanov, Khatai, White city, Sumgait","Khatai, White city",Axşam (16:00 - 22:00),"Şənbə, Bazar",Yay,Günəşli günlər,Americano,Chai tea latte,1 saat və daha çox,"18-24, 25-34, 35-44",Yeni,"Məkan içində iş görmək, Sadəcə qəhvə içmək üçün, Sosial görüşlər",2-3 nəfərlik qruplar daha çoxdur,Endirim olan günlərdə daha çox alış olur,Bonus kartlarla endirim,Qəhvə növləri,Dəyişiklik olmayıb,Kart,9-12 Azn,Məkan daxilində daha çox sifariş var,Small,50,"Xeyr, müştəri sayı eyni qalır",Bəli,50-100,100-200,100-200,200+,Xeyr,5,6.3,4,6.3,8,6.7,6.7,6.8,3.8,+994 55 955 77 05,3.3,32,2,12,6,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Starbucks,Ganjlik mall,Bəli,"Nizami, 28 mall, Port Baku, Targovy, Daniz mall, Crescent mall","Ganjlik mall, Nizami, Port Baku, Targovy",Günorta (12:00 - 16:00),"Şənbə, Bazar",Yay,Günəşli günlər,Americano,Tea,30 dəqiqə,"18-24, 25-34",Yeni,"Məkan içində iş görmək, Sadəcə qəhvə içmək üçün, Sosial görüşlər",2-3 nəfərlik qruplar daha çoxdur,Endirim olan günlərdə daha çox alış olur,Bonus kartlarla endirim,Qəhvə növləri,+10% artım,Kart,9-12 Azn,Məkan daxilində daha çox sifariş var,Medium,40,20%,Bəli,100-200,200+,200+,300+,Bəli,7.2,8,5.6,8,10.2,10.2,10.2,8,5.3,+994 12 404 88 72,4.4,45,10,16,0,9,10,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gloria Jean's,Ganjlik mall,Bəli,"Targovy, Port Baku mall, Port Baku residence, Park Bulvar mall, 28 mall, Ganjlik mall, Crescent mall, Nizami, Ganjlik , Icharishahar, Gala shopping village","Targovy, Port Baku mall, Nizami",Axşam (16:00 - 22:00),"Şənbə, Bazar",Qış,Günəşli günlər,Latte,Tea,1 saat və daha çox,"18-24, 25-34",Yeni,Sadəcə qəhvə içmək üçün,4+ nəfərlik qruplar daha çoxdur,Kampaniyalar ciddi təsir etmir,Bonus kartlarla endirim,Qəhvə növləri,Dəyişiklik olmayıb,Kart,13-20 Azn,Məkan daxilində daha çox sifariş var,Medium,15,10%,Bəli,50-100,100-200,50-100,100-200,Bəli,5.3,5.8,3.9,5.8,8,7.5,7.5,6.6,4.8,Unknown,2.6,90,22,18,13,32,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Stories Coffee Libraff,Ganjlik mall,Bəli,Targovy,Ganjlik mall,Günorta (12:00 - 16:00),"Şənbə, Bazar",Qış,Günəşli günlər,Latte,Tea,1 saat və daha çox,"18-24, 25-34",Yeni,Məkan içində iş görmək,Tək gələnlər daha çoxdur,Endirim olan günlərdə daha çox alış olur,Müəyyən saatlarda endirim,Qəhvə növləri,+20% artım,Kart,9-12 Azn,Məkan daxilində daha çox sifariş var,Medium,80,20%,Xeyr,100-200,100-200,100-200,200+,Bəli,4.9,5.5,3.5,5.5,6.5,6.5,6.5,6.9,3.9,+994 50 764 72 21,3.9,65,17,14,16,7,11,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
Costa Coffee,Ganjlik mall,Bəli,"Nizami, Targovy, Daniz mall, Socar Tower, Maiden Tower, GYD Airport, Port Baku","Port baku, Nizami","Günorta (12:00 - 16:00), Axşam (16:00 - 22:00)","Şənbə, Bazar",Qış,Günəşli günlər,Cappuccino,Chai tea latte,1 saat və daha çox,"18-24, 25-34",Yeni,"Məkan içində iş görmək, Sadəcə qəhvə içmək üçün",2-3 nəfərlik qruplar daha çoxdur,Endirim olan günlərdə daha çox alış olur,1+1 (1 alana 1 pulsuz),Qəhvə növləri + Dessertlər,+10% artım,Kart,13-20 Azn,Məkan daxilində daha çox sifariş var,Medium,40,10%,Xeyr,50-100,50-100,50-100,100-200,Bəli,5.9,6.8,4,6.8,8.5,8.5,8.5,6.8,5.5,+994 12 300 47 51,3.3,120,34,37,24,11,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
Cinnabon,Ganjlik mall,Bəli,"28 mall, Crescent mall, Daniz mall, Targovy",Targovy,Günorta (12:00 - 16:00),"Şənbə, Bazar",Yay,Günəşli günlər,Latte,Mocha,30 dəqiqə,"18-24, 25-34",Yeni,Sadəcə qəhvə içmək üçün,2-3 nəfərlik qruplar daha çoxdur,Endirim olan günlərdə daha çox alış olur,Bonus kartlarla endirim,Qəhvə növləri + Dessertlər,+10% artım,Kart,9-12 Azn,Məkan daxilində daha çox sifariş var,Medium,0,10%,Bəli,50-100,100-200,50-100,100-200,Xeyr,5.6,6.4,3.8,6.4,7.8,7.6,7.6,7.5,3.8,+994 12 829 41 73,4.8,38,12,12,5,6,3,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
White Mind Cafe,Ganjlik mall,Xeyr,,,"Günorta (12:00 - 16:00), Axşam (16:00 - 22:00)","Şənbə, Bazar",Qış,Günəşli günlər,Americano,Mocha,1 saat və daha çox,"18-24, 25-34",Yeni,Sadəcə qəhvə içmək üçün,2-3 nəfərlik qruplar daha çoxdur,Endirim olan günlərdə daha çox alış olur,Müəyyən saatlarda endirim,Qəhvə növləri + Dessertlər,+10% artım,Kart,9-12 Azn,Məkan daxilində daha çox sifariş var,Medium,20,10%,Xeyr,0-50,50-100,0-50,50-100,Xeyr,4.9,5.8,3.7,5.8,7.5,7.1,7.1,5.9,3,+994 55 684 55 15,1.8,98,36,23,17,16,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
