coffeeshop_name,branch,has_other_branches,branch_locations,most_popular_branch,peak_hours,busiest_days,peak_season,best_weather_for_visits,best_selling_product,least_selling_product,avg_time_spent,dominant_age_group,new_vs_loyal_customers,visit_purpose,solo_vs_group_visits,customer_reaction_to_discounts,recent_campaign_types,products_in_campaigns,sales_difference_after_campaigns,preferred_payment_method,avg_order_price,wolt_vs_inhouse_orders,most_preferred_size,seating_capacity,holiday_customer_increase,has_loyalty_card,winter_weekday_orders,winter_weekend_orders,summer_weekday_orders,summer_weekend_orders,has_dietary_options,americano_price,latte_price,espresso_price,cappuccino_price,rafcoffee_price,whitemocha_price,blackmocha_price,hotchocolate_price,tea_price,phone,rating,review_count,excellent_reviews,good_reviews,average_reviews,poor_reviews,terrible_reviews,accepts_credit_cards,seating,free_wifi,visa,mastercard,delivery,takeout,reservations,street_parking,non_smoking_restaurants,parking_available,family_style,digital_payments,table_service,wine_and_beer,serves_alcohol,outdoor_seating,american_express,dog_friendly,full_bar,wheelchair_accessible,cash_only,discover,free_off_street_parking,drive_thru,television,live_music,highchairs_available,gift_cards_available,private_dining,playgrounds,buffet,sports_bars,jazz_bar,validated_parking,valet_parking,waterfront,beach
Coffeemania Next,Crescent mall,Bəli,"Khatai, White city, City park, Nariman Narimanov",Crescent Mall,"Günorta (12:00 - 16:00), Axşam (16:00 - 22:00)","Şənbə, Bazar",Payız,Günəşli günlər,Latte,Chai tea latte,1 saat və daha çox,"18-24, 25-34",Yeni,"Məkan içində iş görmək, Sadəcə qəhvə içmək üçün",2-3 nəfərlik qruplar daha çoxdur,Endirim olan günlərdə daha çox alış olur,Kampaniya yoxdur,Qəhvə növləri + Dessertlər + Sendviç və yeməklər,+10% artım,Kart,13-20 Azn,Məkan daxilində daha çox sifariş var,Medium,60,"Xeyr, müştəri sayı eyni qalır",Xeyr,100-200,200+,100-200,200+,Bəli,6.9,7.5,5.5,7.5,8.9,9,9,8.9,4.5,Unknown,4.7,33,7,7,9,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cinnabon,Crescent mall,Bəli,"28 mall, Daniz mall, Targovy, Ganjlik mall",Targovy,"Günorta (12:00 - 16:00), Axşam (16:00 - 22:00)","Şənbə, Bazar",Yaz,Günəşli günlər,Latte,Mocha,1 saat və daha çox,"18-24, 25-34",Yeni,Sadəcə qəhvə içmək üçün,Tək gələnlər daha çoxdur,Endirim olan günlərdə daha çox alış olur,Bonus kartlarla endirim,Qəhvə növləri + Dessertlər,+10% artım,Kart,9-12 Azn,Məkan daxilində daha çox sifariş var,Medium,60,"Xeyr, müştəri sayı eyni qalır",Bəli,50-100,100-200,100-200,200+,Xeyr,5.6,6.4,3.8,6.4,7.8,7.6,7.6,7.5,3.8,+994 50 502 79 30,4,85,30,26,12,12,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
Gloria Jean's,Crescent mall,Bəli,"28 mall, Ganjlik mall, Targovy, Port Baku mall, Port Baku residence, Park Bulvar mall, Ganjlik mall, Nizami, Ganjlik, Icharishahar, Gala shopping village","Targovy, Nizami","Günorta (12:00 - 16:00), Axşam (16:00 - 22:00)","Şənbə, Bazar",Payız,Soyuq hava,Latte,Tea,1 saat və daha çox,"18-24, 25-34",Yeni,"Məkan içində iş görmək, Sadəcə qəhvə içmək üçün, Sosial görüşlər",2-3 nəfərlik qruplar daha çoxdur,Kampaniyalar ciddi təsir etmir,Bonus kartlarla endirim,Qəhvə növləri,Dəyişiklik olmayıb,Kart,13-20 Azn,Məkan daxilində daha çox sifariş var,Medium,50,"Xeyr, müştəri sayı eyni qalır",Bəli,100-200,100-200,100-200,200+,Bəli,5.3,5.8,3.9,5.8,8,7.5,7.5,6.6,4.8,Unknown,2.6,90,22,18,13,32,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Starbucks,Crescent mall,Bəli,"Ganjlik mall, 28 mall, Nizami, Port Baku, Targovy, Daniz mall","Nizami, Targovy","Günorta (12:00 - 16:00), Axşam (16:00 - 22:00)","Şənbə, Bazar",Yay,Soyuq hava,Latte,Matcha,1 saat və daha çox,"18-24, 25-34",Yeni,"Məkan içində iş görmək, Sadəcə qəhvə içmək üçün",2-3 nəfərlik qruplar daha çoxdur,Kampaniyalar ciddi təsir etmir,Bonus kartlarla endirim,Qəhvə növləri,Dəyişiklik olmayıb,Kart,13-20 Azn,Məkan daxilində daha çox sifariş var,Medium,70,10%,Bəli,100-200,200+,100-200,200+,Bəli,7.2,8,5.6,8,10.2,10.2,10.2,8,5.3,+994 12 404 88 72,4.4,45,10,16,0,9,10,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Coffeemoon,Elmlar Akademiyası,Bəli,"Ganjlik, White city",Elmlar Akademiyası,"Səhər (08:00 - 12:00), Günorta (12:00 - 16:00), Axşam (16:00 - 22:00)","Bazar ertəsi, Çərşənbə axşamı, Çərşənbə, Cümə axşamı, Cümə",Yay,Günəşli günlər,Latte,Tea,1 saat və daha çox,18-24,Daimi,"Məkan içində iş görmək, Sadəcə qəhvə içmək üçün",2-3 nəfərlik qruplar daha çoxdur,Endirim olan günlərdə daha çox alış olur,Bonus kartlarla endirim,Qəhvə növləri,+10% artım,Kart,9-12 Azn,Məkan daxilində daha çox sifariş var,Small,30,"Xeyr, müştəri sayı eyni qalır",Bəli,200+,50-100,100-200,100-200,Xeyr,5.2,6.3,3,6.3,7.3,7,7,6.8,5,+994 55 422 45 96,2.4,84,22,24,21,14,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Friends Baku,Elmlar Akademiyası,Bəli,"Targovy, Nizami, 28 May",Targovy,"Günorta (12:00 - 16:00), Axşam (16:00 - 22:00)","Bazar ertəsi, Çərşənbə axşamı, Çərşənbə, Cümə axşamı, Cümə",Payız,Soyuq hava,Hot Chocolate,Matcha,1 saat və daha çox,18-24,Daimi,"Sadəcə qəhvə içmək üçün, Sosial görüşlər",2-3 nəfərlik qruplar daha çoxdur,Kampaniyalar ciddi təsir etmir,Bonus kartlarla endirim,Qəhvə növləri,Dəyişiklik olmayıb,Kart,9-12 Azn,Məkan daxilində daha çox sifariş var,Medium,60,"Xeyr, müştəri sayı eyni qalır",Bəli,200+,100-200,100-200,200+,Bəli,6.1,6.9,3.9,6.9,7.9,7.9,7.9,7.7,5.5,+994 12 264 39 29,2.3,100,34,27,14,13,12,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Belgian Chocolate & Coffee,Nariman Narimanov,Bəli,"Khatai, White city, Hazi Aslanov, Sumgait","Khatai, White city","Günorta (12:00 - 16:00), Axşam (16:00 - 22:00)","Bazar ertəsi, Çərşənbə axşamı, Çərşənbə, Cümə axşamı, Cümə",Yay,Günəşli günlər,Cappuccino,Tea,1 saat və daha çox,"18-24, 25-34, 35-44",Daimi,"Məkan içində iş görmək, Sadəcə qəhvə içmək üçün, Sosial görüşlər",2-3 nəfərlik qruplar daha çoxdur,Endirim olan günlərdə daha çox alış olur,Bonus kartlarla endirim,Qəhvə növləri,+10% artım,Kart,13-20 Azn,Məkan daxilində daha çox sifariş var,Small,50,"Xeyr, müştəri sayı eyni qalır",Bəli,50-100,100-200,50-100,100-200,Xeyr,5,6.3,4.5,6.3,8,6.7,6.7,6.8,3.8,+994 55 955 77 05,3.3,32,2,12,6,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Coffeemania Next,Nariman Narimanov,Bəli,"Khatai, White city, City park, Crescent mall",Nariman Narimanov,"Günorta (12:00 - 16:00), Axşam (16:00 - 22:00)","Bazar ertəsi, Çərşənbə axşamı, Çərşənbə, Cümə axşamı, Cümə",Yaz,Günəşli günlər,Latte,Chai tea latte,1 saat və daha çox,"18-24, 25-34, 35-44",Daimi,"Məkan içində iş görmək, Sadəcə qəhvə içmək üçün",2-3 nəfərlik qruplar daha çoxdur,Endirim olan günlərdə daha çox alış olur,Kampaniya yoxdur,Qəhvə növləri + Dessertlər + Sendviç və yeməklər,+10% artım,Kart,13-20 Azn,Məkan daxilində daha çox sifariş var,Large,80,"Xeyr, müştəri sayı eyni qalır",Xeyr,100-200,200+,100-200,200+,Bəli,6.9,7.5,5.5,7.5,8.9,9,9,8.9,4.5,Unknown,4.7,33,7,7,9,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Second Cup,Nariman Narimanov,Bəli,"Khatai, Port Baku, Port Baku Walk, White city, Statistika, Targovy, Sevinc mall, Ganjlik","Khatai, Nariman Narimanov, Targovy","Səhər (08:00 - 12:00), Günorta (12:00 - 16:00), Axşam (16:00 - 22:00)","Bazar ertəsi, Çərşənbə axşamı, Çərşənbə, Cümə axşamı, Cümə",Yay,Soyuq hava,Americano,Tea,30 dəqiqə,"18-24, 25-34, 35-44",Daimi,"Məkan içində iş görmək, Sadəcə qəhvə içmək üçün",2-3 nəfərlik qruplar daha çoxdur,Endirim olan günlərdə daha çox alış olur,Bonus kartlarla endirim,Qəhvə növləri,Dəyişiklik olmayıb,Kart,9-12 Azn,Məkan daxilində daha çox sifariş var,Medium,20,"Xeyr, müştəri sayı eyni qalır",Bəli,200+,100-200,100-200,300+,Bəli,6.2,8.3,3.5,6.9,8.3,8.3,8.3,7.9,5,+994 12 404 84 34,3.1,84,17,16,18,14,19,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Coffeebar Baku,White city,Bəli,"Targovy, Daniz mall, 28 May, Mardakan, M.Naxçıvani avenue","Targovy, Daniz mall",Axşam (16:00 - 22:00),"Şənbə, Bazar",Yay,Günəşli günlər,Raf coffee,Tea,1 saat və daha çox,"18-24, 25-34",Yeni,"Məkan içində iş görmək, Sadəcə qəhvə içmək üçün",2-3 nəfərlik qruplar daha çoxdur,Endirim olan günlərdə daha çox alış olur,Müəyyən saatlarda endirim,Qəhvə növləri,+10% artım,Kart,9-12 Azn,Məkan daxilində daha çox sifariş var,Medium,80,"Xeyr, müştəri sayı eyni qalır",Xeyr,100-200,200+,100-200,300+,Bəli,6.9,7.9,4.8,6.5,8.8,7.5,7.5,7.8,5,+994 55 944 99 25,2.9,74,26,11,16,11,10,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Coffeebar Baku,Targovy,Bəli,"Daniz mall, White city, 28 May, Mardakan, M.Naxçıvani avenue","Targovy, Daniz mall",Axşam (16:00 - 22:00),"Şənbə, Bazar",Yay,Günəşli günlər,Raf coffee,Latte,1 saat və daha çox,"18-24, 25-34, 35-44",Yeni,"Məkan içində iş görmək, Sosial görüşlər",2-3 nəfərlik qruplar daha çoxdur,Endirim olan günlərdə daha çox alış olur,Müəyyən saatlarda endirim,Qəhvə növləri,+10% artım,Kart,9-12 Azn,Məkan daxilində daha çox sifariş var,Large,70,20%,Xeyr,50-100,200+,100-200,200+,Bəli,6.9,7.9,4.8,6.5,8.8,7.5,7.5,7.8,5,+994 50 546 87 27,4.3,50,19,8,8,7,8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
Cinnabon,Targovy,Bəli,"28 mall, Daniz mall, Crescent mall, Ganjlik mall",Targovy,Axşam (16:00 - 22:00),"Şənbə, Bazar",Yay,Günəşli günlər,Latte,Tea,1 saat və daha çox,"18-24, 25-34, 35-44",Yeni,Sadəcə qəhvə içmək üçün,2-3 nəfərlik qruplar daha çoxdur,Endirim olan günlərdə daha çox alış olur,Bonus kartlarla endirim,Qəhvə növləri + Dessertlər,Dəyişiklik olmayıb,Kart,13-20 Azn,Məkan daxilində daha çox sifariş var,Medium,50,"Xeyr, müştəri sayı eyni qalır",Bəli,50-100,100-200,50-100,100-200,Xeyr,5.6,6.4,3.8,6.4,7.8,7.6,7.6,7.5,3.8,+994 50 623 55 21,4,104,32,34,18,7,13,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
Chocolatier Baku,Targovy,Xeyr,,,Axşam (16:00 - 22:00),"Şənbə, Bazar",Yay,Günəşli günlər,Cappuccino,Mocha,1 saat və daha çox,"18-24, 25-34, 35-44",Yeni,"Sadəcə qəhvə içmək üçün, Sosial görüşlər",2-3 nəfərlik qruplar daha çoxdur,Endirim olan günlərdə daha çox alış olur,Müəyyən saatlarda endirim,Qəhvə növləri,Dəyişiklik olmayıb,Kart,9-12 Azn,Məkan daxilində daha çox sifariş var,Medium,50,10%,Xeyr,50-100,100-200,50-100,100-200,Xeyr,4.4,6,3,6.4,7.5,6.4,6.4,6.4,2.5,+994 55 271 69 49,3.1,90,30,21,15,19,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,1,0,0,0,1,0,0
Dejavu Coffee,Targovy,Bəli,28-May,Targovy,"Günorta (12:00 - 16:00), Axşam (16:00 - 22:00)","Şənbə, Bazar",Yay,Günəşli günlər,Americano,Raf coffee,1 saat və daha çox,"18-24, 25-34, 35-44",Yeni,"Məkan içində iş görmək, Sadəcə qəhvə içmək üçün, Sosial görüşlər",2-3 nəfərlik qruplar daha çoxdur,Kampaniyalar ciddi təsir etmir,Bonus kartlarla endirim,Qəhvə növləri + Dessertlər,Dəyişiklik olmayıb,Kart,13-20 Azn,Məkan daxilində daha çox sifariş var,Medium,40,10%,Bəli,100-200,200+,100-200,200+,Xeyr,6,6.5,4.5,6.5,8,7.5,7.5,7,4,+994 50 165 29 20,1.6,36,10,10,13,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Baristica,Targovy,Bəli,Ganjlik ,Targovy,Axşam (16:00 - 22:00),"Şənbə, Bazar",Yay,Günəşli günlər,Americano,Latte,1 saat və daha çox,"18-24, 25-34, 35-44",Yeni,"Sadəcə qəhvə içmək üçün, Sosial görüşlər",Tək gələnlər daha çoxdur,Endirim olan günlərdə daha çox alış olur,Müəyyən saatlarda endirim,Qəhvə növləri + Dessertlər + Sendviç və yeməklər,+10% artım,Kart,13-20 Azn,Məkan daxilində daha çox sifariş var,Medium,60,20%,Xeyr,100-200,200+,100-200,200+,Xeyr,5.3,7.1,4.1,6.2,7.5,7.6,7.6,7.6,5,+994 50 833 52 55,3.5,63,20,12,1,16,14,1,0,1,1,1,0,1,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Bluebird Coffees,Targovy,Bəli,Elmlar Akademiyası,Targovy,Axşam (16:00 - 22:00),"Şənbə, Bazar",Yaz,Günəşli günlər,Latte,Latte,1 saat və daha çox,"18-24, 25-34, 35-44",Yeni,"Məkan içində iş görmək, Sadəcə qəhvə içmək üçün, Sosial görüşlər",2-3 nəfərlik qruplar daha çoxdur,Endirim olan günlərdə daha çox alış olur,Bonus kartlarla endirim,Qəhvə növləri,+10% artım,Kart,13-20 Azn,Məkan daxilində daha çox sifariş var,Medium,40,10%,Bəli,100-200,200+,100-200,300+,Xeyr,5.5,5.5,3.5,5,7.5,7.5,7.5,7.5,7,+994 50 999 12 34,3.3,33,10,9,4,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Costa Coffee,Targovy,Bəli,"Nizami, Ganjlik mall, Daniz mall, Socar Tower, Maiden Tower, GYD Airport, Port Baku","Targovy, Nizami",Axşam (16:00 - 22:00),"Şənbə, Bazar",Yay,Günəşli günlər,Americano,Latte,1 saat və daha çox,"18-24, 25-34, 35-44",Yeni,"Sadəcə qəhvə içmək üçün, Sosial görüşlər",2-3 nəfərlik qruplar daha çoxdur,Kampaniyalar ciddi təsir etmir,1+1 (1 alana 1 pulsuz),Qəhvə növləri,+10% artım,Kart,9-12 Azn,Məkan daxilində daha çox sifariş var,Medium,30,10%,Bəli,50-100,200+,100-200,200+,Bəli,5.3,6,4,6,7.5,7.5,7.5,6,5.5,+994 12 576 91 57,1.3,47,13,10,10,7,7,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0
Gloria Jean's,Targovy,Bəli,"Ganjlik, Port Baku mall, Port Baku residence, Park Bulvar mall, 28 mall, Ganjlik mall, Crescent mall, Nizami, Icharishahar, Gala shopping village","Targovy, Nizami","Günorta (12:00 - 16:00), Axşam (16:00 - 22:00)","Şənbə, Bazar",Yay,Günəşli günlər,Americano,Chai tea latte,1 saat və daha çox,"18-24, 25-34, 35-44",Yeni,"Məkan içində iş görmək, Sadəcə qəhvə içmək üçün, Sosial görüşlər",2-3 nəfərlik qruplar daha çoxdur,Endirim olan günlərdə daha çox alış olur,Bonus kartlarla endirim,Qəhvə növləri + Dessertlər,+10% artım,Kart,9-12 Azn,Məkan daxilində daha çox sifariş var,Medium,70,20%,Bəli,200+,300+,100-200,300+,Bəli,5.3,5.8,3.9,5.8,8,7.5,7.5,6.6,4.8,Unknown,2.6,90,22,18,13,32,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Socialbee coffee,Targovy,Bəli,Elmlar Akademiyası,Targovy,"Günorta (12:00 - 16:00), Axşam (16:00 - 22:00)","Şənbə, Bazar",Yay,Günəşli günlər,Cappuccino,Tea,1 saat və daha çox,"18-24, 25-34, 35-44",Yeni,"Məkan içində iş görmək, Sadəcə qəhvə içmək üçün, Sosial görüşlər",2-3 nəfərlik qruplar daha çoxdur,Kampaniyalar ciddi təsir etmir,Müəyyən saatlarda endirim,Qəhvə növləri,Dəyişiklik olmayıb,Kart,9-12 Azn,Məkan daxilində daha çox sifariş var,Medium,50,10%,Bəli,100-200,300+,100-200,300+,Xeyr,5.5,6.9,4.5,6.9,8,7.9,7.9,6.9,4.5,+994 50 410 00 04,2.1,51,32,0,13,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
United Coffee Beans,Targovy,Bəli,"Khatai, White city",Targovy,"Günorta (12:00 - 16:00), Axşam (16:00 - 22:00)","Şənbə, Bazar",Yay,Günəşli günlər,Latte,Chai tea latte,1 saat və daha çox,"18-24, 25-34, 35-44",Yeni,"Məkan içində iş görmək, Sosial görüşlər",Tək gələnlər daha çoxdurr,Kampaniya yoxdur,Kampaniya yoxdur,Kampaniya yoxdur,Kampaniya yoxdur,Kart,13-20 Azn,Məkan daxilində daha çox sifariş var,Medium,40,"Xeyr, müştəri sayı eyni qalır",Xeyr,200+,200+,100-200,200+,Bəli,5.5,8.5,4.9,6.5,11,9.9,9.9,8,5,+994 50 505 11 25,2.4,70,17,8,15,8,22,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Street9bar,28-May,Xeyr,,,Günorta (12:00 - 16:00),"Bazar ertəsi, Çərşənbə axşamı, Çərşənbə, Cümə axşamı, Cümə",Yay,Günəşli günlər,Latte,Mocha,1 saat və daha çox,"18-24, 25-34, 35-44",Daimi,"Sadəcə qəhvə içmək üçün, Sosial görüşlər",2-3 nəfərlik qruplar daha çoxdur,Kampaniyalar ciddi təsir etmir,1+1 (1 alana 1 pulsuz),Qəhvə növləri,Dəyişiklik olmayıb,Kart,13-20 Azn,Məkan daxilində daha çox sifariş var,Large,35,10%,Xeyr,50-100,100-200,50-100,100-200,Xeyr,5.5,7,4,6,8,8.5,8.5,8,5,+994 50 466 08 35,1.6,92,30,5,0,29,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42Coffee Roasters,28-May,Xeyr,,,Günorta (12:00 - 16:00),"Bazar ertəsi, Çərşənbə axşamı, Çərşənbə, Cümə axşamı, Cümə",Yay,Günəşli günlər,Americano,Tea,1 saat və daha çox,"18-24, 25-34",Daimi,"Məkan içində iş görmək, Sadəcə qəhvə içmək üçün",2-3 nəfərlik qruplar daha çoxdur,Endirim olan günlərdə daha çox alış olur,1+1 (1 alana 1 pulsuz),Qəhvə növləri,+10% artım,Kart,9-12 Azn,Məkan daxilində daha çox sifariş var,Medium,30,"Xeyr, müştəri sayı eyni qalır",Bəli,50-100,100-200,50-100,100-200,Xeyr,5.5,7.5,4.9,5.9,6.9,6.9,6.9,5.9,6.5,+994 50 286 97 57,3.3,72,20,16,17,12,7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Coffee Likeu,28-May,Xeyr,,,Günorta (12:00 - 16:00),"Bazar ertəsi, Çərşənbə axşamı, Çərşənbə, Cümə axşamı, Cümə",Yay,Günəşli günlər,Americano,Chai tea latte,1 saat və daha çox,"18-24, 25-34",Daimi,"Sadəcə qəhvə içmək üçün, Sosial görüşlər",2-3 nəfərlik qruplar daha çoxdur,Kampaniyalar ciddi təsir etmir,Müəyyən saatlarda endirim,Qəhvə növləri,Dəyişiklik olmayıb,Kart,13-20 Azn,Məkan daxilində daha çox sifariş var,Medium,25,"Xeyr, müştəri sayı eyni qalır",Xeyr,50-100,100-200,50-100,100-200,Xeyr,6,7,3.8,6.5,7,7.5,7.5,7,4.9,+994 12 356 82 28,4.1,54,20,10,8,12,4,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zebra Coffee Baku,28-May,Xeyr,,,Günorta (12:00 - 16:00),"Bazar ertəsi, Çərşənbə axşamı, Çərşənbə, Cümə axşamı, Cümə",Qış,Günəşli günlər,Latte,Raf coffee,30 dəqiqə,"18-24, 25-34",Yeni,Sosial görüşlər,2-3 nəfərlik qruplar daha çoxdur,Endirim olan günlərdə daha çox alış olur,Müəyyən saatlarda endirim,Qəhvə növləri + Dessertlər,+10% artım,Kart,5-8 Azn,Məkan daxilində daha çox sifariş var,Medium,20,"Xeyr, müştəri sayı eyni qalır",Bəli,50-100,100-200,50-100,100-200,Xeyr,4.5,5.5,3.5,5.5,5.9,5.5,5.5,5.5,5,+994 12 295 60 28,2.9,89,28,21,17,13,10,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Coffee La Ros's,28-May,Xeyr,,,Günorta (12:00 - 16:00),"Bazar ertəsi, Çərşənbə axşamı, Çərşənbə, Cümə axşamı, Cümə",Yaz,Günəşli günlər,Espresso,Chai tea latte,1 saat və daha çox,"18-24, 25-34, 35-44",Daimi,"Məkan içində iş görmək, Sosial görüşlər",4+ nəfərlik qruplar daha çoxdur,Kampaniyalar ciddi təsir etmir,Müəyyən saatlarda endirim,Qəhvə növləri + Dessertlər,+10% artım,Kart,9-12 Azn,Məkan daxilində daha çox sifariş var,Medium,60,20%,Xeyr,300+,200+,100-200,200+,Bəli,5.6,6.4,3.9,6.4,6.7,6.7,6.7,6.7,4.5,+994 12 937 59 81,4.2,107,33,25,24,16,9,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Friends Baku,28-May,Bəli,"Targovy, Nizami, Elmlar Akademiyası",Targovy,"Günorta (12:00 - 16:00), Axşam (16:00 - 22:00)","Bazar ertəsi, Çərşənbə axşamı, Çərşənbə, Cümə axşamı, Cümə",Qış,Günəşli günlər,Latte,Chai tea latte,1 saat və daha çox,"18-24, 25-34",Yeni,"Məkan içində iş görmək, Sosial görüşlər",2-3 nəfərlik qruplar daha çoxdur,Kampaniyalar ciddi təsir etmir,Bonus kartlarla endirim,Qəhvə növləri,Dəyişiklik olmayıb,Kart,9-12 Azn,Məkan daxilində daha çox sifariş var,Medium,50,"Xeyr, müştəri sayı eyni qalır",Bəli,200+,100-200,200+,100-200,Bəli,6.1,6.9,3.9,6.9,7.9,7.9,7.9,7.7,5.5,+994 12 649 65 77,3.3,107,35,26,19,17,10,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Coffeebar Baku,28-May,Bəli,"Targovy, White city, Renessance palace, Daniz mall, Mardakan, M.Naxçıvani avenue","Targovy, Daniz mall",Günorta (12:00 - 16:00),"Bazar ertəsi, Çərşənbə axşamı, Çərşənbə, Cümə axşamı, Cümə",Qış,Günəşli günlər,Latte,Tea,1 saat və daha çox,"18-24, 25-34",Daimi,"Məkan içində iş görmək, Sadəcə qəhvə içmək üçün",2-3 nəfərlik qruplar daha çoxdur,Endirim olan günlərdə daha çox alış olur,Müəyyən saatlarda endirim,Qəhvə növləri,Dəyişiklik olmayıb,Kart,9-12 Azn,Məkan daxilində daha çox sifariş var,Medium,60,"Xeyr, müştəri sayı eyni qalır",Xeyr,200+,100-200,200+,100-200,Bəli,6.9,7.9,4.8,6.5,8.8,7.5,7.5,7.8,5,+994 55 881 43 27,4.8,44,10,10,10,9,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
Dejavu Coffee,28-May,Bəli,Targovy,Targovy,"Günorta (12:00 - 16:00), Axşam (16:00 - 22:00)","Bazar ertəsi, Çərşənbə axşamı, Çərşənbə, Cümə axşamı, Cümə",Yay,Günəşli günlər,Latte,Chai tea latte,1 saat və daha çox,"18-24, 25-34, 35-44",Daimi,"Məkan içində iş görmək, Sadəcə qəhvə içmək üçün",2-3 nəfərlik qruplar daha çoxdur,Kampaniyalar ciddi təsir etmir,Bonus kartlarla endirim,Qəhvə növləri + Dessertlər,Dəyişiklik olmayıb,Kart,13-20 Azn,Məkan daxilində daha çox sifariş var,Medium,40,"Xeyr, müştəri sayı eyni qalır",Bəli,200+,100-200,200+,100-200,Xeyr,6,6.5,4.5,6.5,8,7.5,7.5,7,4,+994 50 229 73 51,3.3,115,31,25,32,20,7,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
